"","ID","Age","Biomass"
"1",1,12,51.15865791
"2",2,13,41.66443131
"3",3,14,49.27996602
"4",4,14,65.77370413
"5",5,15,45.11504914
"6",6,16,61.81107235
"7",7,17,64.91607722
"8",8,18,60.8473122
"9",9,19,65.83731787
"10",10,2,0.014301916
"11",11,2,0.760328948
"12",12,20,73.71975271
"13",13,20,68.20981328
"14",14,20,115.8481438
"15",15,22,117.6497357
"16",16,22,67.53137882
"17",17,22,76.77449125
"18",18,24,106.9526422
"19",19,25,70.38868194
"20",20,26,98.10125967
"21",21,29,146.2383131
"22",22,3,0.456185829
"23",23,30,117.9002439
"24",24,31,133.2032295
"25",25,4,0.254270049
"26",26,5,14.40481685
"27",27,5,24.94626421
"28",28,6,14.33595172
"29",29,6,73.34782362
"30",30,6,14.16144295
"31",31,6,56.9166773
"32",32,6,1.916170245
"33",33,7,30.79556574
"34",34,7,50.92694852
"35",35,7,44.81831371
"36",36,7,4.900919814
"37",37,8,36.9144605
"38",38,8,35.69909297
"39",39,8,63.24588987
"40",40,8,12.70901493
"41",41,8,4.821777341
"42",42,9,48.37343539
"43",43,9,43.30974405
"44",44,9,61.52760449
"45",45,9,28.60148263
"46",46,11,109.7318576
"47",47,18,121.9745492
"48",48,2,0
"49",49,30,164.54919
"50",50,7,54.0702316
"51",51,200,342.9182601
"52",52,10,26.36489981
"53",53,10,30.01191156
"54",54,10,53.57534676
"55",55,10,39.55039441
"56",56,11,57.52245283
"57",57,11,42.08721859
"58",58,11,52.04433667
"59",59,11,60.46510262
"60",60,11,46.72347001
"61",61,24,106.2840115
"62",62,24,165.0969532
"63",63,24,73.44775721
"64",64,24,87.49945927
"65",65,24,90.96111776
"66",66,25,120.9371009
"67",67,25,75.43990662
"68",68,25,136.6032902
"69",69,25,106.1276694
"70",70,40,74.04403313
"71",71,40,190.4906036
"72",72,40,121.1708024
"73",73,40,185.5261356
"74",74,40,209.5705621
"75",75,40,129.6842143
"76",76,40,158.4810311
"77",77,40,201.3161943
"78",78,40,162.6682892
"79",79,200,266.3161568
"80",80,200,394.2407778
"81",81,200,320.220305
"82",82,200,371.1682296
"83",83,200,590.4194373
"84",84,200,408.444418
"85",85,200,480.6345986
"86",86,200,1111.287818
"87",87,200,235.0024862
"88",88,200,371.7022733
"89",89,200,376.5602744
"90",90,200,429.3710445
"91",91,200,431.6647936
"92",92,200,533.4239386
"93",93,200,386.5306823
"94",94,100,211.834383
"95",95,100,302.5901081
"96",96,20,231.0153326
"97",97,20,34.69544605
"98",98,40,149.7291255
"99",99,40,145.6879962
"100",100,70,210.8493208
"101",101,70,367.2820485
"102",102,200,168.9552284
"103",103,200,237.2421982
"104",104,10,114.8240074
"105",105,14,121.1347125
"106",106,18,150.3143031
"107",107,21,180.6036323
"108",108,25,151.0042257
"109",109,32,371.9346425
"110",110,33,238.4698393
"111",111,35,158.3987329
"112",112,37,128.1943048
"113",113,38,197.4331157
"114",114,4,15.46533034
"115",115,43,329.7293272
"116",116,47,484.4025554
"117",117,5,42.12827719
"118",118,7,156.5558421
"119",119,200,286.1348875
"120",120,200,322.3642659
"121",121,15,41.36214602
"122",122,15,32.58729761
"123",123,20,42.46318368
"124",124,20,58.6312691
"125",125,27,50.16417057
"126",126,27,83.21236974
"127",127,59,165.4792534
"128",128,59,102.1377779
"129",129,59,129.5300076
"130",130,10,29.75887285
"131",131,10,11.82458657
"132",132,30,145.7323954
"133",133,60,173.6287973
"134",134,60,219.6389988
"135",135,80,406.541891
"136",136,80,407.6869054
"137",137,200,188.4593833
"138",138,200,116.1304312
"139",139,200,178.8805675
"140",140,0,6.956211506
"141",141,1,0.043009493
"142",142,1,0.616015464
"143",143,11,62.47790938
"144",144,12,103.5579641
"145",145,13,73.67301894
"146",146,14,86.04246869
"147",147,18,73.12481015
"148",148,18,128.0095026
"149",149,2,18.04586282
"150",150,23,146.2392812
"151",151,25,116.7099815
"152",152,27,113.9022653
"153",153,5,3.944449991
"154",154,6,64.82141867
"155",155,9,44.53566251
"156",156,9,110.0189741
"157",157,200,170.381707
"158",158,200,213.9782556
"159",159,200,177.1288847
"160",160,13,22.40642797
"161",161,15,36.87974854
"162",162,15,39.21001547
"163",163,3,2.089328897
"164",164,3,0
"165",165,4,2.003273923
"166",166,6,0.560537729
"167",167,7,2.481903815
"168",168,8,3.603246034
"169",169,200,69.66528851
"170",170,200,97.41802961
"171",171,200,53.99351601
"172",172,12,43.50688934
"173",173,12,114.3194301
"174",174,12,42.48257536
"175",175,12,84.37725006
"176",176,12,39.57249383
"177",177,14,62.50373284
"178",178,16,64.6122612
"179",179,17,157.7551276
"180",180,20,166.7552538
"181",181,20,81.62872156
"182",182,5,42.69398397
"183",183,5,76.95580688
"184",184,5,1.350482087
"185",185,5,5.29284728
"186",186,5,24.13827947
"187",187,5,31.85555446
"188",188,5,39.03212649
"189",189,5,44.81674941
"190",190,5,68.60745301
"191",191,50,412.0160368
"192",192,6,76.14274057
"193",193,6,22.19328464
"194",194,6,41.62513858
"195",195,7,36.18826983
"196",196,7,60.25477857
"197",197,7,29.06989476
"198",198,200,237.9380139
"199",199,200,250.3623367
"200",200,10,115.9703657
"201",201,10,130.8766922
"202",202,15,100.4498709
"203",203,18,207.9484822
"204",204,19,90.42719194
"205",205,20,135.335796
"206",206,20,255.7001796
"207",207,25,143.5130356
"208",208,25,233.424593
"209",209,5,50.85600752
"210",210,6,78.46279816
"211",211,6,97.2920806
"212",212,8,60.90667017
"213",213,8,90.4293833
"214",214,8,87.63207263
"215",215,10,87.18997788
"216",216,10,164.6502709
"217",217,10,81.2438823
"218",218,10,147.1941094
"219",219,10,42.51409524
"220",220,15,148.7906202
"221",221,20,484.6464219
"222",222,20,227.5215444
"223",223,20,299.6186802
"224",224,20,109.3614823
"225",225,20,213.1667206
"226",226,20,264.1851429
"227",227,25,303.1089465
"228",228,29,278.2490254
"229",229,31,276.8016698
"230",230,40,279.0576378
"231",231,40,336.4375886
"232",232,40,194.1856909
"233",233,5,135.9346595
"234",234,6,11.61245949
